name,highway,id
Вокзальная улица,trunk,28888161
Саратовское шоссе,primary,34019798
Саратовское шоссе,primary,34019800
Саратовское шоссе,primary,34019801
Малая Вокзальная улица,secondary,34019809
набережная Леонова,secondary,34322663
набережная Леонова,secondary,34322664
улица 30 лет Победы,secondary,34322665
Трнавская улица,secondary,34322668
проспект Героев,tertiary,34322671
Трнавская улица,secondary,34322674
Медицинский проезд,residential,34693340
Вольская улица,residential,36871251
Коммунальная улица,residential,36871252
шоссе Академика Королёва,trunk,36871434
улица Чапаева,secondary,36871435
улица Факел Социализма,secondary,36871512
улица 20 лет ВЛКСМ,tertiary,36871513
улица Свердлова,tertiary,36871514
улица Ленина,residential,38656747
улица Факел Социализма,secondary,38656748
улица Академика Жук,tertiary,38656750
Комсомольская улица,secondary,41663183
шоссе Академика Королёва,trunk,41663201
улица Мичурина,residential,48949138
улица Циолковского,residential,48949139
улица Суворова,residential,48949141
улица Сергея Лазо,residential,48949142
улица Маяковского,residential,48949143
Каховская улица,residential,48949145
улица Щорса,residential,48949146
Астраханская улица,residential,48949147
улица 30 лет Победы,secondary,48949150
улица Чернышевского,residential,48949161
улица 1 Мая,residential,48949164
Пролетарская улица,tertiary,48949165
Топоринская улица,residential,48949166
Почтовая улица,residential,48949167
улица Братьев Захаровых,secondary,48949168
улица Урицкого,residential,48949169
Кормежинская улица,residential,48949170
Колхозная улица,residential,48949172
Студенецкая улица,residential,48949175
Транспортная улица,tertiary,48949177
улица Крупской,residential,48949195
бульвар Роз,tertiary,48949198
Заводская улица,tertiary,48949210
улица Куйбышева,residential,48949211
улица Кирова,residential,48949212
Хвалынская улица,living_street,48949213
Саратовское шоссе,tertiary,49011440
Промышленная улица,unclassified,49011478
Транспортная улица,tertiary,49011512
Вокзальная улица,trunk,49278686
Малая Вокзальная улица,tertiary,49278687
Привокзальная улица,residential,49278692
Дорожная улица,tertiary,49907799
Заовражная улица,tertiary,49907800
улица Садовые Выселки,residential,49907801
шоссе Академика Королёва,trunk,49907802
улица Лобачевского,residential,49907805
улица Зелёная Роща,residential,49907809
шоссе Академика Королёва,trunk,49907810
улица Титова,secondary,49907815
Минская улица,secondary,49907821
шоссе Академика Королёва,trunk,49907825
шоссе Академика Королёва,trunk,49907826
шоссе Академика Королёва,trunk,49907830
Топоринская улица,residential,49907831
Торговый проезд,tertiary,49931333
улица Калинина,residential,50097274
улица Боженко,residential,50097275
улица Котовского,residential,50097276
улица Шевченко,tertiary,50097279
Коммунистическая улица,secondary,50495245
улица Металлистов,residential,50799328
улица Энгельса,residential,50799329
Крестьянская улица,residential,50799337
Центральная улица,unclassified,51601222
Садовая улица,unclassified,51601230
Коммунистическая улица,secondary,51601233
Заовражная улица,tertiary,51601289
Фруктовая улица,unclassified,51601293
Солнечная улица,unclassified,51601294
улица Пушкина,residential,51601312
Логиновская улица,residential,51601313
Заводская улица,residential,51601333
Саратовское шоссе,primary,51711002
улица Ленина,secondary,51711015
улица Гагарина,secondary,51711016
Коммунистическая улица,unclassified,51711017
Минская улица,tertiary,51711062
улица Серова,residential,51711063
Минская улица,secondary,51711074
набережная Леонова,secondary,51711075
Заовражная улица,secondary,51711161
Советская улица,residential,51711162
Рабочая улица,tertiary,51711163
улица Чернышевского,residential,51711172
Коммунистическая улица,tertiary,51711173
Транспортная улица,secondary,51711176
Транспортная улица,secondary,51711179
Транспортная улица,secondary,51711180
Транспортная улица,tertiary,51711189
Каховская улица,tertiary,51711220
бульвар Роз,tertiary,51784922
улица Фадеева,unclassified,51784930
улица Механизаторов,tertiary,51785068
Вольская улица,unclassified,51785069
Комсомольская улица,secondary,51785070
Комсомольская улица,secondary,51785071
Пионерская улица,residential,51785072
Украинская улица,living_street,51785077
улица Братьев Захаровых,secondary,51785079
улица 20 лет ВЛКСМ,tertiary,51785081
Топоринская улица,residential,57948276
Волжская улица,residential,57948307
улица Ленина,residential,57948314
улица Чапаева,residential,57948315
Гвардейская улица,residential,57948324
Сазанлейская улица,residential,57948332
улица 20 лет ВЛКСМ,unclassified,57948342
Каховская улица,residential,57948365
Киевская улица,residential,57948388
Озёрная улица,unclassified,57948404
улица 60 лет СССР,tertiary,57948407
улица Кутякова,residential,57948412
улица Ленина,residential,57948422
Заречная улица,residential,57948442
Гвардейская улица,residential,57948475
Казанская улица,residential,57948489
улица 30 лет Победы,secondary,70953256
улица Розы Люксембург,residential,75320062
улица Чкалова,residential,75320075
Кирпичная улица,residential,75320086
Минская улица,secondary,75320087
улица Факел Социализма,secondary,75320092
Кирпичная улица,residential,75320102
Пионерская улица,residential,75320103
улица Академика Жук,secondary,75320116
улица Радищева,residential,75320120
набережная Леонова,secondary,75320122
улица Чернышевского,residential,75320124
Пролетарская улица,residential,75320125
Вишнёвый проезд,residential,75320130
Кирпичный переулок,residential,75320146
Коммунарная улица,residential,75320149
улица Ватутина,residential,75320162
Садовая улица,residential,75320169
Балтайская улица,living_street,75320178
Селитьбенская улица,residential,75320179
Ленинградская улица,residential,75320194
улица Свердлова,tertiary,75320197
улица Красной Звезды,residential,75320201
Безымянный проезд,residential,75320203
улица Свердлова,tertiary,75320206
Красноармейская улица,residential,75320210
Пролетарская улица,residential,75320215
улица Грибоедова,residential,75320217
улица Шевченко,residential,75320222
Тихая улица,residential,75320225
Советская улица,residential,75320234
улица Максима Горького,residential,75320235
Саратовское шоссе,primary,75354664
улица Льва Толстого,residential,75354665
улица Братьев Захаровых,secondary,75354676
улица Ломоносова,residential,75370365
Стадионная улица,unclassified,79569884
проезд Энергетиков,tertiary,111784014
улица 30 лет Победы,unclassified,112560086
Саратовское шоссе,primary,112601061
Саратовское шоссе,trunk,112610852
улица Комарова,secondary,112610854
Саратовское шоссе,trunk,112610855
Строительная улица,tertiary,112621821
Торговая улица,tertiary,112628558
набережная 50 лет ВЛКСМ,tertiary,112631713
Степная улица,tertiary,112835366
Телевизионная улица,tertiary,112835368
Саратовский тракт,trunk,113489277
Саратовское шоссе,trunk,113489282
улица Дружбы,residential,119021069
улица Дружбы,tertiary,119021070
Минская улица,secondary,119599388
Вокзальная улица,trunk,128248575
Вокзальная улица,trunk,128248577
Комсомольская улица,residential,173801817
шоссе Академика Королёва,trunk,173801819
Набережная улица,residential,174409814
Набережная улица,residential,174409825
мост Победы,secondary,175860668
улица 30 лет Победы,secondary,175860669
Комсомольская улица,secondary,175860670
улица Зелёная Роща,residential,175860672
Малая Вокзальная улица,tertiary,195151865
улица Чапаева,tertiary,195151876
Солнечный городок,unclassified,282271302
Вишнёвая улица,unclassified,282271304
Ивановское шоссе,tertiary,282920897
улица Ломоносова,tertiary,283432876
улица Грибоедова,residential,283432877
улица Грибоедова,tertiary,283432878
Славянская улица,residential,283557134
Арагонитовая улица,residential,283557135
Революционная улица,residential,289901467
проезд Строителей,residential,289901469
Саратовское шоссе,primary,289988653
Саратовское шоссе,primary,289988654
Степная улица,tertiary,289988655
улица 30 лет Победы,primary,289988656
шоссе Академика Королёва,trunk,290063460
шоссе Академика Королёва,trunk,290063461
шоссе Академика Королёва,trunk,290063466
шоссе Академика Королёва,trunk,290063467
Малая Вокзальная улица,secondary,290063468
Комсомольская улица,secondary,290063469
Минская улица,secondary,290063470
Минская улица,secondary,290063472
Саратовское шоссе,primary,290063474
Саратовское шоссе,primary,290063479
Саратовское шоссе,primary,290063481
Саратовское шоссе,primary,290063484
Степная улица,tertiary,290063487
Степная улица,tertiary,290063490
Степная улица,tertiary,290063492
Телевизионная улица,tertiary,290063493
Телевизионная улица,tertiary,290063495
набережная Леонова,secondary,290063497
проспект Героев,tertiary,290063498
проспект Героев,tertiary,290063499
улица 30 лет Победы,secondary,290063501
улица Гагарина,secondary,290063502
улица Ленина,secondary,290063503
улица Титова,secondary,290063504
улица Титова,secondary,290063505
улица Титова,secondary,290063506
улица Факел Социализма,secondary,290063507
Трнавская улица,secondary,290141905
Трнавская улица,secondary,290141906
проспект Героев,tertiary,290141907
улица 30 лет Победы,secondary,290141908
Трнавская улица,secondary,290147608
Трнавская улица,secondary,290147609
Коммунистическая улица,secondary,290310986
Минская улица,secondary,290310988
Трнавская улица,secondary,290310991
Трнавская улица,secondary,290310992
Малая Вокзальная улица,secondary,290577137
Малая Вокзальная улица,secondary,290577138
Минская улица,secondary,290577139
Саратовское шоссе,primary,290577140
Саратовское шоссе,primary,290577141
Степная улица,tertiary,290577142
Строительная улица,tertiary,290577143
Трнавская улица,secondary,290577144
Трнавская улица,secondary,290577145
Трнавская улица,secondary,290577146
Трнавская улица,secondary,290577147
бульвар Роз,tertiary,290577148
улица Комарова,secondary,290577149
улица Шевченко,tertiary,290577150
Волжская улица,tertiary,290947222
улица 30 лет Победы,secondary,290947226
Береговая улица,residential,291148308
шоссе Академика Королёва,trunk,291392852
шоссе Академика Королёва,trunk,291392855
шоссе Академика Королёва,trunk,291392856
Дорожная улица,residential,291392857
Минская улица,secondary,291392858
набережная Леонова,secondary,291392859
шоссе Академика Королёва,trunk,291392861
шоссе Академика Королёва,trunk,291392862
шоссе Академика Королёва,trunk,291392863
шоссе Академика Королёва,trunk,291392864
Степная улица,tertiary,292770644
улица 20 лет ВЛКСМ,tertiary,292770645
улица 20 лет ВЛКСМ,tertiary,292770646
улица 20 лет ВЛКСМ,tertiary,292770647
улица Академика Жук,secondary,292770648
улица Братьев Захаровых,secondary,292770649
улица Ленина,secondary,292770650
улица Свердлова,tertiary,292770651
улица Факел Социализма,secondary,292770652
улица Факел Социализма,secondary,292770653
улица Чапаева,tertiary,292770655
Транспортная улица,tertiary,292952734
Транспортная улица,tertiary,292952736
проспект Героев,secondary,292952737
улица Ленина,secondary,293024789
улица Титова,secondary,293024790
Минская улица,primary,293095811
Саратовское шоссе,primary,293095812
Коммунистическая улица,secondary,293167394
Коммунистическая улица,tertiary,293167397
Судостроительная улица,tertiary,293167399
улица Титова,secondary,293475316
улица Братьев Захаровых,secondary,294837490
Харьковская улица,residential,295786877
Садовая улица,residential,297838004
Пролетарская улица,residential,312971737
Садовая улица,residential,385377747
улица Садовые Выселки,residential,385377757
улица Фадеева,residential,385377758
Садовая улица,residential,385481536
улица Садовые Выселки,residential,385481565
набережная Леонова,secondary,385488261
проспект Героев,tertiary,385488262
улица 30 лет Победы,secondary,385488264
набережная Леонова,secondary,385488984
улица 30 лет Победы,secondary,398455284
улица Гагарина,secondary,398457104
улица Гагарина,secondary,398457105
Минская улица,secondary,398457320
Минская улица,secondary,398457321
Минская улица,secondary,398457322
Минская улица,secondary,398457323
Минская улица,secondary,398457324
Минская улица,secondary,398457325
Минская улица,secondary,398457326
Минская улица,secondary,398457327
Минская улица,secondary,398457328
Минская улица,secondary,398457329
Минская улица,secondary,398457330
Минская улица,secondary,398457331
Минская улица,secondary,398457332
Минская улица,secondary,398457333
Минская улица,secondary,398457334
Малая Вокзальная улица,secondary,425318961
Вокзальная улица,trunk,428024987
Саратовское шоссе,trunk,428024990
Саратовское шоссе,primary,428024991
Саратовское шоссе,primary,428024993
Саратовское шоссе,trunk,428024994
Саратовское шоссе,primary,428024995
набережная Леонова,secondary,439916816
Лазурная улица,tertiary,488483472
Лесной проезд,residential,488483475
Лазурная улица,tertiary,488483476
Топоринская улица,residential,492530885
улица Чернышевского,residential,504234146
улица Комарова,secondary,543487960
Вокзальная улица,trunk,546271627
улица Гагарина,secondary,546273103
Вокзальная улица,trunk,569970929
Вокзальная улица,trunk,569971025
Вокзальная улица,trunk,569971081
Малая Вокзальная улица,tertiary,571229060
Трнавская улица,secondary,572077019
шоссе Академика Королёва,trunk,584936842
шоссе Академика Королёва,trunk,584936843
улица Ленина,secondary,585666110
набережная Леонова,secondary,617576889
набережная Леонова,secondary,617576890
Саратовский тракт,trunk,626576416
Саратовское шоссе,primary,680278064
Подсосенское шоссе,residential,682671361
Пионерская улица,residential,687280676
Пионерская улица,residential,687280677
улица Гагарина,secondary,687553791
Светлая,living_street,699427810
Новая,living_street,699427811
улица Гагарина,secondary,704906866
Саратовское шоссе,trunk,898401598
улица Факел Социализма,secondary,918097081
улица Факел Социализма,secondary,918097082
улица Братьев Захаровых,secondary,1008628056
улица Братьев Захаровых,secondary,1008628057
улица Братьев Захаровых,secondary,1008628058
улица Ленина,secondary,1008628059
улица Ленина,secondary,1008628060
шоссе Академика Королёва,trunk,1016793118
Саратовское шоссе,primary,1232881370
Саратовское шоссе,primary,1232881371
набережная 50 лет ВЛКСМ,tertiary,1264851544
Телевизионная улица,primary,1265196879
улица Лобачевского,residential,1265422932
улица Титова,secondary,1265448873
Малая Вокзальная улица,secondary,1265550809
Колхозная улица,residential,1265554270
Пионерская улица,secondary,1265557465
Комсомольская улица,secondary,1265557466
Комсомольская улица,secondary,1265557467
улица Ленина,secondary,1265557468
Комсомольская улица,secondary,1265557470
Комсомольская улица,secondary,1265557471
Трнавская улица,secondary,1265743665
Трнавская улица,secondary,1265743666
Транспортная улица,tertiary,1265743667
Транспортная улица,tertiary,1265743668
Трнавская улица,secondary,1265751537
Трнавская улица,secondary,1265751538
Степная улица,secondary,1265751542
проезд Энергетиков,secondary,1265752632
улица 30 лет Победы,secondary,1265752633
улица 20 лет ВЛКСМ,secondary,1266179338
улица 20 лет ВЛКСМ,secondary,1266179339
Малая Вокзальная улица,secondary,1266233112
улица Чапаева,residential,1266801440
Коммунистическая улица,unclassified,1266805185
улица Ленина,secondary,1266808614
Заовражная улица,secondary,1266808615
улица Ленина,secondary,1267729715
Степная улица,tertiary,1267927596
Степная улица,tertiary,1267927597
Строительная улица,tertiary,1267932718
Минская улица,secondary,1267932719
Рабочая улица,tertiary,1268691627
улица 1 Мая,residential,1268691628
Коммунистическая улица,secondary,1268691629
Вокзальная улица,trunk,1274936943
Вокзальная улица,trunk,1274936945
улица Титова,secondary,1276454881
улица Титова,secondary,1276454882
шоссе Академика Королёва,trunk,1279377293
шоссе Академика Королёва,trunk,1279377294
улица Братьев Захаровых,secondary,1279377443
улица Братьев Захаровых,secondary,1279377444
улица 20 лет ВЛКСМ,tertiary,1279378242
улица Факел Социализма,secondary,1279379470
улица Академика Жук,tertiary,1279380432
улица Титова,secondary,1279382050
улица Титова,secondary,1279382051
Саратовское шоссе,primary,1291725809
Коммунистическая улица,tertiary,1292148636
Коммунистическая улица,tertiary,1292148637
Каховская улица,residential,1292480305
Каховская улица,residential,1292480306
Каховская улица,residential,1292480307
Набережная улица,residential,1298823938
улица 20 лет ВЛКСМ,tertiary,1300971020
